INDEX PR_0 PR_1 PR_2
chr10_111298554_111298925_MACS_peak_2151 0.5714 0.0893 0.3393
chr10_11149151_11149609_MACS_peak_2876 0.6250 0.1071 0.2679
chr10_11149219_11149973_MACS_peak_1338 0.5893 0.0893 0.3214
chr10_111516315_111516707_MACS_peak_4200 0.8214 0.1071 0.0714
chr10_111576049_111576292_MACS_peak_4201 0.9286 0.0179 0.0536
chr10_111578659_111578861_MACS_peak_2154 0.9821 0.0000 0.0179
chr10_111673306_111673518_MACS_peak_4204 0.8750 0.0714 0.0536
chr10_111676364_111676657_MACS_peak_4205 0.9107 0.0357 0.0536
chr10_111680226_111680543_MACS_peak_4206 0.8929 0.0179 0.0893
chr10_111717859_111718059_MACS_peak_4207 0.9643 0.0000 0.0357
chr10_111972517_111972932_MACS_peak_4211 0.6071 0.1071 0.2857
chr10_111972540_111972947_MACS_peak_2156 0.6071 0.0893 0.3036
chr10_111979658_111979858_MACS_peak_4212 0.9464 0.0000 0.0536
chr10_112060153_112060353_MACS_peak_2158 0.9821 0.0179 0.0000
chr10_112271947_112272168_MACS_peak_4216 0.9286 0.0179 0.0536
chr10_112322807_112323007_MACS_peak_2159 1.0000 0.0000 0.0000
chr10_112948950_112949151_MACS_peak_2161 1.0000 0.0000 0.0000
chr10_113663890_113664090_MACS_peak_4220 0.9464 0.0357 0.0179
chr10_113913986_113914186_MACS_peak_2162 0.9821 0.0000 0.0179
chr10_114801039_114801294_MACS_peak_2163 0.9821 0.0000 0.0179
chr10_115184694_115185170_MACS_peak_4223 0.8393 0.0000 0.1607
chr10_115250468_115250740_MACS_peak_4224 0.7500 0.1071 0.1429
chr10_115315565_115315789_MACS_peak_2166 0.8571 0.0357 0.1071
chr10_115343131_115343512_MACS_peak_4229 0.7857 0.0357 0.1786
chr10_115355435_115355635_MACS_peak_4230 0.9464 0.0179 0.0357
chr10_115384224_115385173_MACS_peak_4233 0.2679 0.0536 0.6786
chr10_115384362_115385128_MACS_peak_2169 0.2679 0.0893 0.6429
chr10_115521308_115521508_MACS_peak_4234 0.9464 0.0000 0.0536
chr10_115586287_115586917_MACS_peak_4235 0.8214 0.0179 0.1607
chr10_116319145_116319345_MACS_peak_2173 0.9821 0.0179 0.0000
chr10_116394578_116394902_MACS_peak_4240 0.8571 0.0536 0.0893
chr10_116422702_116422926_MACS_peak_2174 1.0000 0.0000 0.0000
chr10_116581581_116581862_MACS_peak_4244 0.7143 0.1786 0.1071
chr10_116594440_116594661_MACS_peak_2178 1.0000 0.0000 0.0000
chr10_116776912_116777112_MACS_peak_2181 0.9464 0.0536 0.0000
chr10_116791548_116791748_MACS_peak_2182 0.9643 0.0357 0.0000
chr10_116831153_116831354_MACS_peak_4249 0.7500 0.1607 0.0893
chr10_116849096_116849296_MACS_peak_2184 1.0000 0.0000 0.0000
chr10_116894503_116894712_MACS_peak_4252 0.6250 0.2857 0.0893
chr10_116919582_116919837_MACS_peak_2188 1.0000 0.0000 0.0000
chr10_116931105_116931320_MACS_peak_2189 1.0000 0.0000 0.0000
chr10_117063173_117063514_MACS_peak_4256 0.8393 0.0714 0.0893
chr10_117063300_117064177_MACS_peak_2192 0.6964 0.0357 0.2679
chr10_117118527_117118743_MACS_peak_2194 0.9821 0.0179 0.0000
chr10_117119424_117119791_MACS_peak_2195 1.0000 0.0000 0.0000
chr10_117148445_117148773_MACS_peak_2197 0.7500 0.0714 0.1786
chr10_117215590_117215796_MACS_peak_2198 0.9643 0.0179 0.0179
chr10_117215943_117216188_MACS_peak_2199 1.0000 0.0000 0.0000
chr10_117224077_117224585_MACS_peak_2201 0.5179 0.1607 0.3214
chr10_117282093_117282434_MACS_peak_4262 0.9643 0.0000 0.0357
chr10_117376931_117377200_MACS_peak_2203 0.8036 0.0893 0.1071
chr10_117417417_117417709_MACS_peak_4269 0.8393 0.0536 0.1071
chr10_117417853_117418214_MACS_peak_4270 0.8036 0.0714 0.1250
chr10_117434921_117435765_MACS_peak_4271 0.5357 0.0179 0.4464
chr10_117435085_117435285_MACS_peak_2205 0.7679 0.1071 0.1250
chr10_117435565_117435806_MACS_peak_2206 0.7500 0.1071 0.1429
chr10_117445045_117445372_MACS_peak_4272 0.8393 0.0179 0.1429
chr10_117629341_117629569_MACS_peak_2208 0.9643 0.0179 0.0179
chr10_117640817_117641017_MACS_peak_4275 0.9821 0.0000 0.0179
chr10_117675748_117676095_MACS_peak_2209 1.0000 0.0000 0.0000
chr10_117710557_117710965_MACS_peak_4277 0.6250 0.1071 0.2679
chr10_117746368_117746609_MACS_peak_2212 0.9107 0.0179 0.0714
chr10_117792537_117793035_MACS_peak_2213 0.5357 0.0893 0.3750
chr10_117792666_117793040_MACS_peak_4282 0.5357 0.1071 0.3571
chr10_117798532_117798732_MACS_peak_2214 0.9821 0.0179 0.0000
chr10_118064834_118065322_MACS_peak_2220 0.9107 0.0179 0.0714
chr10_118065109_118065309_MACS_peak_4287 0.9107 0.0536 0.0357
chr10_118083115_118083423_MACS_peak_4288 0.8750 0.0536 0.0714
chr10_118083749_118084005_MACS_peak_2221 0.9821 0.0179 0.0000
chr10_118103228_118103471_MACS_peak_2222 0.7857 0.0714 0.1429
chr10_118121990_118122257_MACS_peak_2223 0.9821 0.0179 0.0000
chr10_118141377_118142153_MACS_peak_4290 0.3214 0.0893 0.5893
chr10_118141518_118142045_MACS_peak_2224 0.3929 0.0893 0.5179
chr10_118172511_118172996_MACS_peak_4291 0.6607 0.1607 0.1786
chr10_118407060_118407353_MACS_peak_4294 0.8750 0.0536 0.0714
chr10_118418812_118419250_MACS_peak_4295 0.8393 0.0357 0.1250
chr10_118418851_118419312_MACS_peak_2225 0.8393 0.0357 0.1250
chr10_118470671_118470916_MACS_peak_4296 0.9464 0.0000 0.0536
chr10_118480924_118481194_MACS_peak_4297 0.8571 0.0714 0.0714
chr10_118486561_118486982_MACS_peak_4298 0.8929 0.0179 0.0893
chr10_118529915_118530115_MACS_peak_4299 0.9821 0.0000 0.0179
chr10_118714531_118714731_MACS_peak_2227 0.9821 0.0179 0.0000
chr10_118782073_118782273_MACS_peak_2228 0.9821 0.0179 0.0000
chr10_118869682_118870016_MACS_peak_4302 0.7857 0.0893 0.1250
chr10_118882642_118882952_MACS_peak_2230 0.9107 0.0000 0.0893
chr10_118953013_118953213_MACS_peak_2231 1.0000 0.0000 0.0000
chr10_118978282_118978545_MACS_peak_2232 1.0000 0.0000 0.0000
chr10_119002042_119002278_MACS_peak_2233 1.0000 0.0000 0.0000
chr10_119011159_119011359_MACS_peak_2234 1.0000 0.0000 0.0000
chr10_119086548_119086973_MACS_peak_4308 0.7857 0.0357 0.1786
chr10_119114725_119115076_MACS_peak_4309 0.8214 0.0179 0.1607
chr10_119239690_119240455_MACS_peak_2236 0.6250 0.0536 0.3214
chr10_119240026_119240759_MACS_peak_4314 0.6429 0.0357 0.3214
chr10_119293483_119293683_MACS_peak_2237 1.0000 0.0000 0.0000
chr10_119453616_119453817_MACS_peak_4317 0.9286 0.0536 0.0179
chr10_119609838_119610038_MACS_peak_2239 1.0000 0.0000 0.0000
chr10_119882516_119882798_MACS_peak_4322 0.9821 0.0000 0.0179
chr10_120026528_120026728_MACS_peak_4325 0.9643 0.0000 0.0357
chr10_120208630_120208940_MACS_peak_4334 0.9286 0.0357 0.0357
chr10_120227012_120227487_MACS_peak_4335 0.8214 0.0357 0.1429
chr10_120422856_120423089_MACS_peak_4337 0.9107 0.0179 0.0714
chr10_120438152_120438352_MACS_peak_4338 0.9464 0.0000 0.0536
chr10_120556350_120556596_MACS_peak_4342 0.9286 0.0179 0.0536
chr10_120576992_120577263_MACS_peak_4343 0.8393 0.0000 0.1607
chr10_120616696_120617054_MACS_peak_4344 0.7857 0.0357 0.1786
chr10_120686101_120686613_MACS_peak_4346 0.8036 0.0000 0.1964
chr10_120818838_120819038_MACS_peak_2246 1.0000 0.0000 0.0000
chr10_120851382_120851583_MACS_peak_4348 0.1607 0.1429 0.6964
chr10_120882414_120882614_MACS_peak_4349 0.9286 0.0179 0.0536
chr10_120895660_120896238_MACS_peak_4350 0.5536 0.0714 0.3750
chr10_120898723_120898923_MACS_peak_2248 0.9643 0.0357 0.0000
chr10_121033503_121033786_MACS_peak_4352 0.8929 0.0893 0.0179
chr10_121247172_121247380_MACS_peak_4354 0.9821 0.0000 0.0179
chr10_121263960_121264369_MACS_peak_2251 0.9286 0.0357 0.0357
chr10_121268555_121269136_MACS_peak_4356 0.7679 0.0179 0.2143
chr10_121310584_121310789_MACS_peak_2252 1.0000 0.0000 0.0000
chr10_121351096_121351296_MACS_peak_2253 0.9286 0.0357 0.0357
chr10_121351222_121351617_MACS_peak_4359 0.8929 0.0179 0.0893
chr10_121391728_121391928_MACS_peak_4361 0.9821 0.0000 0.0179
chr10_121398822_121399022_MACS_peak_2255 1.0000 0.0000 0.0000
chr10_121420019_121420280_MACS_peak_2256 1.0000 0.0000 0.0000
chr10_121430371_121430571_MACS_peak_4363 0.9464 0.0179 0.0357
chr10_121475749_121475949_MACS_peak_2258 0.9107 0.0714 0.0179
chr10_121505261_121505570_MACS_peak_2260 1.0000 0.0000 0.0000
chr10_121576272_121576475_MACS_peak_4366 0.6607 0.2143 0.1250
chr10_121606051_121606251_MACS_peak_2263 1.0000 0.0000 0.0000
chr10_121625916_121626793_MACS_peak_4369 0.4107 0.0714 0.5179
chr10_121626009_121626764_MACS_peak_2264 0.4107 0.1071 0.4821
chr10_121641519_121642146_MACS_peak_4371 0.6071 0.2143 0.1786
chr10_121641830_121642044_MACS_peak_2265 0.9107 0.0536 0.0357
chr10_121647967_121648273_MACS_peak_4372 0.0179 0.0536 0.9286
chr10_121739951_121740304_MACS_peak_4376 0.5179 0.2679 0.2143
chr10_121901484_121901686_MACS_peak_4378 0.1964 0.1964 0.6071
chr10_121904273_121904602_MACS_peak_4379 0.9107 0.0179 0.0714
chr10_122047755_122048000_MACS_peak_4380 0.9107 0.0536 0.0357
chr10_122079813_122080013_MACS_peak_4382 0.9464 0.0000 0.0536
chr10_122096693_122097572_MACS_peak_4383 0.3929 0.0536 0.5536
chr10_122096755_122097678_MACS_peak_2267 0.3929 0.0536 0.5536
chr10_122198027_122198227_MACS_peak_4384 0.9464 0.0000 0.0536
chr10_122544263_122544563_MACS_peak_4386 0.9643 0.0000 0.0357
chr10_122553218_122553461_MACS_peak_2269 0.9821 0.0179 0.0000
chr10_122651861_122652352_MACS_peak_2271 0.9821 0.0000 0.0179
chr10_122678659_122679152_MACS_peak_2272 0.5893 0.1607 0.2500
chr10_122678693_122679455_MACS_peak_4387 0.5536 0.0893 0.3571
chr10_122758130_122758822_MACS_peak_2274 1.0000 0.0000 0.0000
chr10_122794329_122794924_MACS_peak_2276 0.7143 0.0714 0.2143
chr10_122794461_122794893_MACS_peak_4389 0.7321 0.0893 0.1786
chr10_122815146_122815518_MACS_peak_4391 0.6250 0.1607 0.2143
chr10_122933161_122933479_MACS_peak_4393 0.7143 0.1964 0.0893
chr10_122933632_122933916_MACS_peak_4394 0.9107 0.0357 0.0536
chr10_122985459_122985698_MACS_peak_2281 0.8571 0.0536 0.0893
chr10_123656796_123656996_MACS_peak_2285 1.0000 0.0000 0.0000
chr10_123887180_123887383_MACS_peak_4400 0.8571 0.1429 0.0000
chr10_124138549_124138905_MACS_peak_4401 0.8571 0.0179 0.1250
chr10_124740503_124740703_MACS_peak_4402 0.9286 0.0714 0.0000
chr10_125334513_125334765_MACS_peak_4404 0.9464 0.0357 0.0179
chr10_12534589_12534793_MACS_peak_2884 0.1429 0.2500 0.6071
chr10_125388968_125389218_MACS_peak_2286 0.9821 0.0000 0.0179
chr10_12612543_12612858_MACS_peak_2885 0.9286 0.0179 0.0536
chr10_126588168_126588368_MACS_peak_4409 0.9286 0.0179 0.0536
chr10_126901136_126901361_MACS_peak_2289 0.8036 0.1429 0.0536
chr10_126901320_126901563_MACS_peak_4415 0.7500 0.1071 0.1429
chr10_126919194_126919401_MACS_peak_4418 0.8750 0.0000 0.1250
chr10_12694800_12695000_MACS_peak_2887 0.9464 0.0179 0.0357
chr10_126978382_126979034_MACS_peak_4419 0.6786 0.0893 0.2321
chr10_126978520_126978778_MACS_peak_2290 0.7321 0.1786 0.0893
chr10_127030598_127030798_MACS_peak_2291 0.8929 0.0714 0.0357
chr10_127041416_127042254_MACS_peak_4422 0.5179 0.1071 0.3750
chr10_127075058_127075442_MACS_peak_4425 0.6964 0.0536 0.2500
chr10_127075178_127075488_MACS_peak_2293 0.6786 0.1071 0.2143
chr10_127091218_127091418_MACS_peak_4426 0.9643 0.0179 0.0179
chr10_127121089_127121463_MACS_peak_2294 0.6786 0.0357 0.2857
chr10_127121103_127121427_MACS_peak_4430 0.6786 0.0357 0.2857
chr10_127164753_127165354_MACS_peak_4432 0.5536 0.0893 0.3571
chr10_127165046_127165482_MACS_peak_2298 0.6250 0.1607 0.2143
chr10_127170865_127171089_MACS_peak_2299 0.9286 0.0357 0.0357
chr10_127177588_127177788_MACS_peak_4433 0.9643 0.0179 0.0179
chr10_127183825_127184112_MACS_peak_4434 0.9643 0.0000 0.0357
chr10_127194554_127194854_MACS_peak_4435 0.8214 0.0714 0.1071
chr10_127195178_127195451_MACS_peak_4436 0.9107 0.0179 0.0714
chr10_127195666_127195897_MACS_peak_2300 0.9464 0.0357 0.0179
chr10_127211014_127211398_MACS_peak_4437 0.7321 0.0893 0.1786
chr10_127238654_127238855_MACS_peak_2302 1.0000 0.0000 0.0000
chr10_127266167_127266907_MACS_peak_4439 0.6429 0.0714 0.2857
chr10_127266200_127266550_MACS_peak_2303 0.7143 0.0357 0.2500
chr10_127290151_127290351_MACS_peak_2304 0.7679 0.1429 0.0893
chr10_127290344_127291018_MACS_peak_4441 0.5179 0.1071 0.3750
chr10_127290435_127290963_MACS_peak_2305 0.5357 0.1071 0.3571
chr10_12729044_12729313_MACS_peak_2888 0.9107 0.0179 0.0714
chr10_127311265_127311526_MACS_peak_4442 0.8571 0.0893 0.0536
chr10_127311526_127311966_MACS_peak_2306 0.6250 0.1607 0.2143
chr10_127311683_127312080_MACS_peak_4443 0.6429 0.1250 0.2321
chr10_127325658_127325924_MACS_peak_2307 1.0000 0.0000 0.0000
chr10_127338928_127339218_MACS_peak_4446 0.7679 0.0357 0.1964
chr10_127350653_127350853_MACS_peak_4447 0.9286 0.0357 0.0357
chr10_127350698_127350930_MACS_peak_2308 0.9286 0.0357 0.0357
chr10_127471129_127471425_MACS_peak_4450 0.8750 0.0714 0.0536
chr10_127471511_127471928_MACS_peak_4451 0.8036 0.0714 0.1250
chr10_127508471_127508691_MACS_peak_2310 1.0000 0.0000 0.0000
chr10_127512728_127513074_MACS_peak_4453 0.7321 0.0893 0.1786
chr10_127522001_127522386_MACS_peak_4454 0.8214 0.0714 0.1071
chr10_127526199_127526439_MACS_peak_2311 1.0000 0.0000 0.0000
chr10_127572828_127573028_MACS_peak_4455 0.9643 0.0179 0.0179
chr10_127604507_127604848_MACS_peak_4457 0.8393 0.0536 0.1071
chr10_127643824_127644048_MACS_peak_4461 0.8750 0.0893 0.0357
chr10_127658507_127658707_MACS_peak_4462 0.9643 0.0357 0.0000
chr10_127662149_127662377_MACS_peak_2313 0.9821 0.0179 0.0000
chr10_127667321_127668274_MACS_peak_4464 0.5179 0.1429 0.3393
chr10_128015097_128015306_MACS_peak_2317 0.8214 0.0714 0.1071
chr10_128015105_128015368_MACS_peak_4468 0.8036 0.0714 0.1250
chr10_128035326_128035788_MACS_peak_4469 0.7143 0.1071 0.1786
chr10_128035445_128035764_MACS_peak_2318 0.7500 0.1071 0.1429
chr10_128082977_128083566_MACS_peak_2320 0.6607 0.0179 0.3214
chr10_128083004_128083393_MACS_peak_4471 0.6607 0.0357 0.3036
chr10_128092092_128092294_MACS_peak_2321 0.9821 0.0179 0.0000
chr10_128094694_128094933_MACS_peak_4473 0.7679 0.1071 0.1250
chr10_128096752_128097015_MACS_peak_2322 0.8036 0.0893 0.1071
chr10_128096763_128096992_MACS_peak_4474 0.8036 0.0893 0.1071
chr10_12813195_12813506_MACS_peak_2889 0.8929 0.0536 0.0536
chr10_128194186_128194831_MACS_peak_4477 0.6429 0.0714 0.2857
chr10_128194400_128194600_MACS_peak_2323 0.7321 0.1607 0.1071
chr10_128205215_128205415_MACS_peak_4478 0.9643 0.0179 0.0179
chr10_128211152_128211381_MACS_peak_2324 0.9464 0.0536 0.0000
chr10_128211617_128212001_MACS_peak_4479 0.7857 0.0536 0.1607
chr10_128232260_128232481_MACS_peak_2326 0.6786 0.2321 0.0893
chr10_12823527_12823727_MACS_peak_1346 1.0000 0.0000 0.0000
chr10_128270241_128270726_MACS_peak_4485 0.6429 0.0536 0.3036
chr10_128270315_128270680_MACS_peak_2327 0.6429 0.0714 0.2857
chr10_128303175_128303986_MACS_peak_4486 0.4643 0.0893 0.4464
chr10_128303220_128303541_MACS_peak_2328 0.6607 0.1250 0.2143
chr10_128303659_128303859_MACS_peak_2329 0.6786 0.1786 0.1429
chr10_128322204_128322597_MACS_peak_4487 0.7857 0.0714 0.1429
chr10_128322382_128322665_MACS_peak_2330 0.8036 0.1071 0.0893
chr10_128337345_128338150_MACS_peak_4488 0.4821 0.0536 0.4643
chr10_128337521_128337883_MACS_peak_2331 0.5536 0.1607 0.2857
chr10_128337938_128338138_MACS_peak_2332 0.7857 0.1250 0.0893
chr10_128362707_128362908_MACS_peak_4490 0.9107 0.0179 0.0714
chr10_12836359_12836828_MACS_peak_2891 0.8036 0.0179 0.1786
chr10_128377340_128377540_MACS_peak_2336 0.9286 0.0536 0.0179
chr10_128409751_128410106_MACS_peak_4494 0.6607 0.0536 0.2857
chr10_128409754_128410117_MACS_peak_2337 0.6607 0.0536 0.2857
chr10_128411398_128411805_MACS_peak_4495 0.5536 0.0714 0.3750
chr10_128411421_128411763_MACS_peak_2338 0.5536 0.0893 0.3571
chr10_128434726_128434926_MACS_peak_2339 0.9643 0.0179 0.0179
chr10_128493563_128494106_MACS_peak_4500 0.6429 0.1071 0.2500
chr10_128493846_128494181_MACS_peak_2342 0.6429 0.0714 0.2857
chr10_12850842_12851042_MACS_peak_2893 0.9464 0.0179 0.0357
chr10_128525167_128525491_MACS_peak_4504 0.6786 0.1607 0.1607
chr10_128525584_128526299_MACS_peak_4505 0.4286 0.0536 0.5179
chr10_128525767_128526349_MACS_peak_2344 0.4821 0.0179 0.5000
chr10_128536181_128536669_MACS_peak_4506 0.6964 0.0893 0.2143
chr10_128536419_128536690_MACS_peak_2345 0.7321 0.1607 0.1071
chr10_128547636_128547933_MACS_peak_4507 0.5893 0.0714 0.3393
chr10_128547692_128548051_MACS_peak_2346 0.5714 0.1250 0.3036
chr10_128549088_128549441_MACS_peak_2347 0.6250 0.0179 0.3571
chr10_128572923_128573123_MACS_peak_4510 0.9643 0.0179 0.0179
chr10_128587258_128587458_MACS_peak_2349 0.9821 0.0179 0.0000
chr10_128590289_128590591_MACS_peak_4511 0.8929 0.0536 0.0536
chr10_12860413_12860633_MACS_peak_2894 0.9464 0.0179 0.0357
chr10_128612772_128612989_MACS_peak_2351 0.9107 0.0000 0.0893
chr10_128612786_128613009_MACS_peak_4512 0.9107 0.0000 0.0893
chr10_128626277_128626992_MACS_peak_4513 0.6786 0.0000 0.3214
chr10_128626407_128626695_MACS_peak_2352 0.7679 0.1786 0.0536
chr10_128626766_128627030_MACS_peak_2353 0.7143 0.1071 0.1786
chr10_128636809_128637009_MACS_peak_2354 1.0000 0.0000 0.0000
chr10_128662603_128662938_MACS_peak_4514 0.8929 0.0000 0.1071
chr10_12868012_12868600_MACS_peak_2895 0.5893 0.0714 0.3393
chr10_12868034_12868368_MACS_peak_1347 0.6429 0.0714 0.2857
chr10_12869098_12869363_MACS_peak_2896 0.8036 0.0893 0.1071
chr10_12869243_12869443_MACS_peak_1348 0.8036 0.0893 0.1071
chr10_128704552_128704788_MACS_peak_2357 0.8214 0.0714 0.1071
chr10_128704665_128705308_MACS_peak_4519 0.6250 0.0536 0.3214
chr10_128705051_128705313_MACS_peak_2358 0.6786 0.1607 0.1607
chr10_128715415_128715922_MACS_peak_4520 0.9107 0.0000 0.0893
chr10_128716156_128716573_MACS_peak_2359 1.0000 0.0000 0.0000
chr10_128744803_128745042_MACS_peak_2360 0.9643 0.0000 0.0357
chr10_128746204_128746638_MACS_peak_2361 0.9643 0.0179 0.0179
chr10_128747622_128748116_MACS_peak_4521 0.6429 0.1250 0.2321
chr10_128748543_128748743_MACS_peak_4522 0.8214 0.1250 0.0536
chr10_128779597_128779797_MACS_peak_4523 0.9286 0.0000 0.0714
chr10_128804963_128805286_MACS_peak_2362 0.5893 0.2679 0.1429
chr10_128805062_128805683_MACS_peak_4524 0.4464 0.0357 0.5179
chr10_128805329_128805829_MACS_peak_2363 0.4643 0.1071 0.4286
chr10_128814061_128814261_MACS_peak_4525 0.9643 0.0000 0.0357
chr10_128821530_128822021_MACS_peak_4527 0.6429 0.0536 0.3036
chr10_128821531_128821990_MACS_peak_2364 0.6429 0.0536 0.3036
chr10_128923043_128923268_MACS_peak_2366 0.7857 0.0357 0.1786
chr10_128923046_128923420_MACS_peak_4533 0.7321 0.0893 0.1786
chr10_128923308_128923792_MACS_peak_2367 0.7679 0.0714 0.1607
chr10_128945696_128946021_MACS_peak_4534 0.8393 0.0536 0.1071
chr10_12915497_12915718_MACS_peak_2897 0.6071 0.3036 0.0893
chr10_12941079_12941279_MACS_peak_2900 0.9821 0.0000 0.0179
chr10_12963153_12963605_MACS_peak_2901 0.8214 0.0714 0.1071
chr10_12963979_12964179_MACS_peak_2902 0.8571 0.1071 0.0357
chr10_12964284_12964517_MACS_peak_1350 0.8929 0.0714 0.0357
chr10_12997097_12997297_MACS_peak_2903 0.9286 0.0179 0.0536
chr10_13008162_13008734_MACS_peak_1351 0.7321 0.0714 0.1964
chr10_13008356_13008665_MACS_peak_2904 0.7679 0.0714 0.1607
chr10_130322439_130322988_MACS_peak_4538 0.6607 0.0357 0.3036
chr10_130322667_130322983_MACS_peak_2369 0.6786 0.0893 0.2321
chr10_130336375_130336751_MACS_peak_4539 0.7321 0.1250 0.1429
chr10_130541925_130542402_MACS_peak_4541 0.5714 0.0000 0.4286
chr10_130541980_130542547_MACS_peak_2371 0.5714 0.0179 0.4107
chr10_13080751_13080951_MACS_peak_2905 0.9643 0.0179 0.0179
chr10_13192764_13192964_MACS_peak_1352 0.9107 0.0714 0.0179
chr10_13193079_13193453_MACS_peak_2906 0.6786 0.0893 0.2321
chr10_13193107_13193323_MACS_peak_1353 0.6786 0.1429 0.1786
chr10_13474250_13474670_MACS_peak_1356 0.9821 0.0000 0.0179
chr10_13552788_13553421_MACS_peak_2909 0.6250 0.0714 0.3036
chr10_13552838_13553315_MACS_peak_1358 0.6786 0.0714 0.2500
chr10_13567458_13567669_MACS_peak_1359 0.9286 0.0714 0.0000
chr10_13567459_13567661_MACS_peak_2910 0.9286 0.0714 0.0000
chr10_13964728_13965046_MACS_peak_1361 0.9464 0.0536 0.0000
chr10_13967889_13968103_MACS_peak_1363 0.9821 0.0179 0.0000
chr10_13982874_13983357_MACS_peak_1364 0.9643 0.0000 0.0357
chr10_13993322_13993798_MACS_peak_1365 1.0000 0.0000 0.0000
chr10_13998940_13999285_MACS_peak_1366 1.0000 0.0000 0.0000
chr10_14086045_14086295_MACS_peak_1368 0.9643 0.0179 0.0179
chr10_14207792_14207995_MACS_peak_1369 1.0000 0.0000 0.0000
chr10_14314737_14315050_MACS_peak_1371 1.0000 0.0000 0.0000
chr10_14332854_14333095_MACS_peak_1373 0.9821 0.0179 0.0000
chr10_14445651_14445994_MACS_peak_2918 0.8750 0.0536 0.0714
chr10_14705212_14705726_MACS_peak_2922 0.7500 0.0357 0.2143
chr10_14705220_14705731_MACS_peak_1374 0.7500 0.0357 0.2143
chr10_15060466_15060666_MACS_peak_2924 0.9821 0.0000 0.0179
chr10_15300172_15300476_MACS_peak_2925 0.8929 0.0536 0.0536
chr10_16637087_16637359_MACS_peak_2929 0.9464 0.0000 0.0536
chr10_17201002_17201494_MACS_peak_2931 0.8929 0.0000 0.1071
chr10_17485101_17485875_MACS_peak_2932 0.6786 0.0357 0.2857
chr10_17565345_17565582_MACS_peak_2933 0.9107 0.0179 0.0714
chr10_17660885_17661103_MACS_peak_2935 0.9286 0.0179 0.0536
chr10_17722129_17722614_MACS_peak_1376 0.6429 0.0357 0.3214
chr10_17722234_17722597_MACS_peak_2937 0.6429 0.0357 0.3214
chr10_17722811_17723115_MACS_peak_1377 0.7143 0.1429 0.1429
chr10_17722967_17723540_MACS_peak_2938 0.5714 0.0893 0.3393
chr10_17772576_17772776_MACS_peak_1378 0.9643 0.0357 0.0000
chr10_17948018_17948355_MACS_peak_1381 0.8750 0.0536 0.0714
chr10_18022255_18022744_MACS_peak_2942 0.6964 0.0714 0.2321
chr10_18022688_18023320_MACS_peak_1382 0.6964 0.0536 0.2500
chr10_18022831_18023149_MACS_peak_2943 0.7500 0.0536 0.1964
chr10_18070709_18070942_MACS_peak_2945 0.9107 0.0179 0.0714
